,Headline,Language,embedded_text
0,"श्रद्धा कपूर को महादेव बेटिंग ऐप घोटाला में ईडी ने भेजा समन, आज हो सकती हैं पेश: रिपोर्ट्स",Hindi,0.19285744
1,ഇന്ത്യ തോറ്റതിന് കാരണം ഇതാണ് ; ധവാന്റെ വെളിപ്പെടുത്തല്‍,Malayalam,0.041179456
2,डीपफेक से पीड़ित सभी लोग अपने नज़दीकी पुलिस स्टेशन में दर्ज करवाएं एफआईआर: केंद्रीय मंत्री ,Hindi,0.31902868
3,ತಮಿಳಲ್ಲಿ ಮಾತನಾಡಿ ಕಾಲಿವುಡ್​ ಪ್ರೇಕ್ಷಕರ ಮನಗೆದ್ದ ರಾಕಿಂಗ್​ ಸ್ಟಾರ್: ಪರ ಭಾಷೆಯಲ್ಲಿ ಮಾತನಾಡುವ ಕಲಾವಿದರಿಗೆ ಯಶ್​ ಹೇಳಿದ್ದೇನು..?,Kannada,0.14040135
4,"हाथरस हादसाः नारायण साकार के चरणों की धूल को लेकर मची भगदड़, क्या कह रहे हैं श्रद्धालु- ग्राउंड रिपोर्ट",Hindi,0.11137344
5,లాభాలు కొనసాగాయ్‌,Telugu,-0.09265056
6,काश्मीरमध्ये दहशतवाद्यांविरोधात लढताना साताऱ्याचे जवान रवींद्र धनावडेंना वीरमरण,Marathi,-0.09047773
7,રાજકોટઃસીંગતેલમાં ભેળસેળ કરનારા તત્વો સામે કાર્યવાહી કરાશે,Gujarati,-0.1712644
8,ਆਪਣੇ ਬਚਾਅ ਵਾਸਤੇ ਉਹਨਾਂ ਕੁੜੀ ਨੂੰ ਦੋਵਾਂ ਬਾਹਵਾਂ ਤੋਂ ਫੜ੍ਹ ਕੇ ਢਾਲ ਵਜੋਂ ਉਸਦੇ            ਅੱਗੇ ਕੀਤਾ।,Punjabi,0.18070267
9,ਉਸ ਨੂੰ ਖੁੱਲਦਾ ਵੇਖ ਕੇ ਮੈਂ ਜਾਨਣਾ ਚਾਹਿਆ ਕਿ ਆਖਰ ਹੋਇਆ ਕੀ ਏ,Punjabi,0.15982531
10,आज अंगणवाडी सेविकांचे राज्यभर आंदोलन,Marathi,-0.12638362
11,Women's Day Special: આ પાંચ શાનદાર એપ જરુર હોવી જોઇએ મહિલાઓના ફોનમાં,Gujarati,0.19542505
12,"पुण्यात मराठी चित्रपटाची उपेक्षा, सिंबामुळे 'भाई'ला मिळत नाही थिएटर",Marathi,0.16610684
13,"न्यूयाॅर्कमध्ये सोनालीला आठवतोय घरचा गणपती, फोटो शेअर करताना झाली इमोशनल",Marathi,0.27036667
14,అమెరికా న్యాయమూర్తులుగా ఇద్దరు భారత సంతతి మహిళలు,Telugu,-0.21101724
15,ప్రభాస్‌ సెట్‌లో అలా ఉంటారు: పూజా హెగ్డే,Telugu,-0.18448192
16,ਭਾਰਤ ਚ ਲੈ ਕੇ ਆ ਰਹੀ ਹੈ ਐਂਡਰਾਇਡ    ਅਗਸਤਚ ਹੋ ਸਕਦਾ ਹੈ ਲਾਂਚ,Punjabi,0.16784327
17,ਗੁਰੂ ਸਾਹਿਬ ਨੇ ਭਾਈ ਘਨ੍ਹਈਏ ਨੂੰ ਬੁਲਾਇਆ ਤੇ ਪੁੱਛਿਆ ਕੀ ਇਹ ਸਿੰਘ ਤੇਰੇ ਬਾਰੇ ਠੀਕ ਕਹਿ ਰਹੇ ਹਨ,Punjabi,0.10953633
18,ਮਾਨਵਤਾ ਦੇ ਸੱਚੇਸੁੱਚੇ ਰਹਿਬਰ ਬਾਬਾ ਸੇਵਾ ਸਿੰਘ ਜੀ ਸੰਪਰਦਾਇ ਕਾਰ ਸੇਵਾ ਸ੍ਰੀ ਖਡੂਰ ਸਾਹਿਬ,Punjabi,0.091088705
19,"ஸ்லம்டாக் படம் நினைவுள்ளதா? அது ஒரு பிரபல தொலைக்காட்சி நிகழ்ச்சியை அடிப்படையாகக் கொண்டது. படத்தில் நடக்குமாறு நிஜத்தில் அமிதாப்பச்சன் அவரது போட்டியாளர்களை அப்படி நடத்துவார் என யாரும் நினைக்கவில்லை. ஆனால் இவரைப் போன்ற முட்டாள்கள், இயக்குநரின் கற்பனைதான் நிஜத்திலும் நடக்கிறது என நம்புகிறார்கள்.",Tamil,0.3236906
20,"બાબા રામદેવની પતંજલિ હવે વેચશે દૂધ અને દહી, પાંચ નવી પ્રોડક્ટ કરી લોન્ચ",Gujarati,0.16263111
21,एका एपिसोडसाठी डाॅ.हाथींची 'इतकी' होती कमाई!,Marathi,0.20851687
